time,claremont_count,innaloo,kelmscott_count,myaree_count,northbridge_count,oconnor_count,scarbs_count,shenton_count,vic_count
02:23:26 2021/02/10,1,1,,,1,1,,,1
02:33:30 2021/02/10,,,,,1,1,,,1
02:43:32 2021/02/10,,,,,1,,,,1
02:53:35 2021/02/10,,,,,1,,,,2
03:03:38 2021/02/10,,,,,1,,,,1
03:13:41 2021/02/10,,,1,,,,,,1
03:23:44 2021/02/10,,,1,,,,,,1
03:33:47 2021/02/10,,,1,,,1,,,1
03:43:49 2021/02/10,2,2,2,,,2,1,,1
03:53:52 2021/02/10,2,2,2,1,,2,2,,
04:03:54 2021/02/10,2,2,2,1,1,3,2,,
04:13:56 2021/02/10,2,2,2,2,1,3,2,,
04:23:59 2021/02/10,4,4,3,5,1,4,3,,
04:34:02 2021/02/10,6,5,4,6,1,3,4,,
04:44:04 2021/02/10,4,5,6,6,2,2,5,,2
04:54:06 2021/02/10,8,7,6,6,2,4,6,,3
05:04:08 2021/02/10,14,11,7,6,3,9,11,,8
05:14:11 2021/02/10,25,22,6,11,4,14,12,,13
05:24:14 2021/02/10,27,31,6,12,7,19,16,,19
05:34:16 2021/02/10,31,35,9,18,8,19,24,,27
05:44:19 2021/02/10,38,43,13,27,9,24,28,,29
05:54:22 2021/02/10,43,46,15,31,10,29,30,4,35
06:04:24 2021/02/10,61,55,23,37,16,31,38,6,39
06:14:27 2021/02/10,59,66,25,40,17,32,43,10,43
06:24:30 2021/02/10,70,64,26,42,16,31,50,15,45
06:34:33 2021/02/10,74,66,24,39,18,32,46,22,43
06:44:35 2021/02/10,77,63,21,36,21,33,43,24,46
06:54:38 2021/02/10,76,70,19,36,24,30,42,23,42
07:04:41 2021/02/10,61,68,15,37,18,19,35,26,37
07:14:43 2021/02/10,56,64,10,35,21,20,31,24,38
07:24:45 2021/02/10,51,58,11,35,19,18,29,23,32
07:34:48 2021/02/10,47,65,12,30,19,22,26,16,32
07:44:51 2021/02/10,42,63,12,30,16,19,25,13,29
07:54:54 2021/02/10,42,60,16,24,16,23,25,14,25
08:04:56 2021/02/10,35,57,15,23,13,25,28,14,24
08:14:59 2021/02/10,36,52,13,19,11,29,24,12,23
08:25:01 2021/02/10,38,48,11,16,10,30,29,13,21
08:35:04 2021/02/10,38,45,13,15,10,25,24,16,22
08:45:06 2021/02/10,35,38,17,16,10,30,24,17,26
08:55:09 2021/02/10,43,30,17,21,10,30,23,16,32
09:05:12 2021/02/10,44,29,16,31,13,33,22,13,35
09:15:15 2021/02/10,45,33,19,32,13,34,20,12,36
09:25:17 2021/02/10,38,33,21,33,13,34,20,13,37
09:35:20 2021/02/10,37,36,21,31,12,35,22,11,35
09:45:22 2021/02/10,38,37,16,35,17,31,26,11,32
09:55:25 2021/02/10,40,47,13,30,17,29,25,10,33
10:05:27 2021/02/10,36,47,14,26,14,30,25,10,35
10:15:29 2021/02/10,32,38,12,23,13,28,24,10,38
10:25:32 2021/02/10,32,47,13,17,14,28,21,10,38
10:35:35 2021/02/10,33,54,13,19,16,24,18,7,41
10:45:38 2021/02/10,33,56,14,21,17,25,15,9,40
10:55:41 2021/02/10,30,51,13,19,16,23,17,9,39
11:05:43 2021/02/10,26,45,11,23,18,22,17,10,30
11:15:46 2021/02/10,27,46,10,23,17,16,22,15,30
11:25:48 2021/02/10,24,44,8,27,20,17,24,20,29
11:35:51 2021/02/10,23,43,5,26,18,20,22,20,27
11:45:53 2021/02/10,23,42,4,25,19,22,20,17,34
11:55:56 2021/02/10,21,38,5,25,18,22,18,19,33
12:05:59 2021/02/10,25,37,7,24,20,22,15,18,33
12:16:02 2021/02/10,26,36,6,24,18,23,21,16,35
12:26:04 2021/02/10,31,35,7,18,18,29,18,8,32
12:36:07 2021/02/10,36,31,8,18,24,28,19,7,33
12:46:10 2021/02/10,33,29,7,22,23,24,24,11,27
12:56:12 2021/02/10,36,29,6,23,21,22,24,11,22
13:06:15 2021/02/10,31,29,6,20,16,20,27,13,23
13:16:17 2021/02/10,31,29,8,16,20,23,33,15,23
13:26:19 2021/02/10,30,32,9,18,24,25,24,17,21
13:36:22 2021/02/10,16,33,9,20,19,21,22,19,17
13:46:24 2021/02/10,21,37,9,21,14,21,16,17,18
13:56:27 2021/02/10,18,34,11,19,15,20,14,19,22
14:06:30 2021/02/10,22,37,13,21,16,25,17,16,21
14:16:32 2021/02/10,24,36,11,23,15,21,18,15,26
14:26:35 2021/02/10,25,40,10,21,13,25,19,14,27
14:36:37 2021/02/10,24,41,10,20,11,27,22,12,27
14:46:40 2021/02/10,28,43,10,23,12,26,22,12,35
14:56:42 2021/02/10,24,47,11,24,11,26,25,9,36
15:06:44 2021/02/10,35,57,10,24,9,26,27,6,38
15:16:47 2021/02/10,35,58,10,24,10,26,26,6,39
15:26:49 2021/02/10,37,49,13,28,19,30,32,5,38
15:36:51 2021/02/10,40,57,12,36,17,23,30,9,40
15:46:54 2021/02/10,50,53,16,35,20,26,29,13,51
15:56:57 2021/02/10,50,57,17,35,24,28,29,18,50
16:07:00 2021/02/10,53,56,20,40,23,27,34,26,51
16:17:02 2021/02/10,52,67,21,39,25,25,38,29,49
16:27:04 2021/02/10,50,71,22,47,18,31,30,34,53
16:37:07 2021/02/10,55,86,20,47,18,36,32,35,55
16:47:10 2021/02/10,50,95,20,46,20,34,34,38,50
16:57:13 2021/02/10,51,88,21,51,18,43,36,36,48
17:07:15 2021/02/10,56,90,28,52,15,51,36,33,53
17:17:18 2021/02/10,65,90,29,58,18,59,37,31,52
17:27:21 2021/02/10,69,89,27,62,19,57,37,32,52
17:37:24 2021/02/10,74,82,31,62,27,50,43,33,63
17:47:26 2021/02/10,81,77,28,54,27,52,42,28,64
17:57:28 2021/02/10,86,72,28,52,31,51,42,27,58
18:07:31 2021/02/10,92,75,22,52,37,45,41,25,53
18:17:34 2021/02/10,87,79,15,43,35,43,45,26,53
18:27:36 2021/02/10,81,74,16,42,38,43,46,24,52
18:37:39 2021/02/10,78,66,11,42,34,45,42,21,57
18:47:41 2021/02/10,63,68,11,37,30,40,46,19,47
18:57:44 2021/02/10,58,64,13,43,29,41,43,23,45
19:07:46 2021/02/10,51,67,8,39,24,37,40,23,39
19:17:49 2021/02/10,49,60,9,34,23,35,40,20,37
19:27:51 2021/02/10,48,61,6,35,24,29,36,20,41
19:37:53 2021/02/10,46,65,5,32,21,29,37,20,40
19:47:56 2021/02/10,42,68,12,37,17,29,35,17,35
19:57:58 2021/02/10,44,66,15,32,22,30,33,15,36
20:08:01 2021/02/10,47,65,14,32,24,30,33,14,41
20:18:03 2021/02/10,55,64,15,39,24,28,28,15,41
20:28:05 2021/02/10,59,61,15,39,24,28,27,15,40
20:38:08 2021/02/10,51,59,15,37,23,34,24,15,40
20:48:11 2021/02/10,54,48,17,35,26,30,23,17,44
20:58:13 2021/02/10,52,42,14,29,22,26,16,15,44
21:08:15 2021/02/10,45,41,11,28,22,23,15,11,38
21:18:18 2021/02/10,40,41,11,19,22,25,15,10,35
21:28:20 2021/02/10,37,42,12,19,21,23,16,7,34
21:38:23 2021/02/10,30,40,12,19,15,15,15,5,32
21:48:26 2021/02/10,32,38,13,18,15,15,17,3,29
21:58:29 2021/02/10,27,37,12,14,12,12,17,,22
22:08:31 2021/02/10,23,37,10,13,8,10,14,,21
22:18:34 2021/02/10,23,32,10,11,9,10,12,,20
22:28:36 2021/02/10,18,24,7,11,12,9,13,,23
22:38:39 2021/02/10,16,18,6,7,12,8,8,,21
22:48:42 2021/02/10,16,14,5,7,14,7,6,,18
22:58:44 2021/02/10,12,13,3,5,15,6,3,,19
23:08:47 2021/02/10,11,9,2,2,12,7,3,,17
23:18:50 2021/02/10,10,4,3,3,13,7,3,,13
23:28:52 2021/02/10,8,4,2,3,11,6,2,,10
23:38:55 2021/02/10,7,5,1,2,10,6,3,,9
23:48:57 2021/02/10,5,4,2,2,10,6,3,,5
23:59:00 2021/02/10,3,3,3,1,7,3,3,,2
00:09:02 2021/02/11,3,4,3,1,7,2,4,,2
00:19:06 2021/02/11,3,5,3,1,7,1,3,,1
00:29:08 2021/02/11,2,5,2,,6,,4,,2
00:39:11 2021/02/11,1,3,2,,2,2,4,,3
00:49:14 2021/02/11,1,3,2,2,2,3,3,,4
00:59:16 2021/02/11,1,3,2,2,2,3,3,,4
01:09:19 2021/02/11,1,2,2,2,2,3,3,,5
01:19:22 2021/02/11,,3,2,2,2,3,1,,4
01:29:25 2021/02/11,,3,2,2,2,3,1,,4
01:39:28 2021/02/11,,2,2,2,1,3,1,,3
01:49:31 2021/02/11,,2,2,1,2,2,1,,2
01:59:33 2021/02/11,,2,2,,2,1,1,,1
